"Techstack","Links"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
"React, Python, FastAPI, PostgreSQL","https://example.com/react-fastapi-portfolio"
"Vue.js, Express.js, MongoDB","https://example.com/vue-express-portfolio"
"Svelte, Node.js, SQLite","https://example.com/svelte-node-portfolio"
"Next.js, TypeScript, GraphQL, PostgreSQL","https://example.com/nextjs-graphql-portfolio"
"PHP, Laravel, Vue.js, MySQL","https://example.com/laravel-vue-portfolio"
"Go (Golang), Gin, PostgreSQL, Docker","https://example.com/go-backend-portfolio"
"C#, Blazor, .NET, Azure SQL","https://example.com/blazor-dotnet-portfolio"
"Elixir, Phoenix, PostgreSQL","https://example.com/elixir-phoenix-portfolio"
"React Native, AWS Amplify, GraphQL","https://example.com/react-native-amplify-portfolio"
"iOS, Swift, Firebase Auth & Firestore","https://example.com/ios-firebase-portfolio"
"Android, Kotlin, Ktor, MongoDB","https://example.com/android-ktor-portfolio"
"Data Engineering, Apache Spark, Kafka, Scala","https://example.com/data-eng-spark-portfolio"
"Machine Learning, Python, PyTorch, Scikit-learn","https://example.com/ml-pytorch-portfolio"
"DevOps, Kubernetes, Docker, Terraform, AWS","https://example.com/devops-kubernetes-aws-portfolio"
"Cybersecurity, Python, Wireshark, Metasploit","https://example.com/cybersecurity-python-portfolio"

